  [map1 white]={x={261.2665,-256.5806,261.2665,-256.5806,261.2665,-256.5806,261.2665,-256.5806},
       z={71.68717,0.10532,44.69466,0.10532,-44.18560,0.10532,-71.52375,0.10532},
       y={48.21943365,48.21943365,48.21943365,48.21943365,48.21943365,48.21943365,48.21943365,48.21943365}},
  [map1 black]={x={-261.2665,256.5806,-261.2665,256.5806,-261.2665,256.5806,-261.2665,256.5806},
       z={71.68717,0.10532,44.69466,0.10532,-44.18560,0.10532,-71.52375,0.10532},
       y={48.21943365,48.21943365,48.21943365,48.21943365,48.21943365,48.21943365,48.21943365,48.21943365}},
  [map2 white]={x={175.71618,-200.07823,208.81658,-200.07823,175.71618,-200.07823,208.81658,-200.07823},
       z={-144.57347,128.38220,-111.58444,128.38220,-111.58444,128.38220,-144.57347,128.38220},
       y={38.3997101,38.4000153,38.3997101,38.4000153,38.3997101,38.4000153,38.3997101,38.4000153}},
  [map2 black]={x={-175.71618,200.07823,-208.81658,200.07823,-175.71618,200.07823,-208.81658,200.07823},
       z={144.57347,-128.38220,111.58444,-128.38220,111.58444,-128.38220,144.57347,-128.38220},
       y={38.4000153,38.3997101,38.4000153,38.3997101,38.4000153,38.3997101,38.4000153,38.3997101}},
  [map3 white]={x={242.23381,-250.27249,242.23381,-250.27249,242.23381,-250.27249,242.23381,-250.27249},
       z={60.50044,-0.42039,37.09999,-0.42039,-37.09999,-0.42039,-60.50044,-0.42039},
       y={19.2000463,54.3999939,19.2000463,54.3999939,19.2000463,54.3999939,19.2000463,54.3999939}},
  [map3 black]={x={-242.23381,250.27249,-242.23381,250.27249,-242.23381,250.27249,-242.23381,250.27249},
       z={60.50044,-0.42039,37.09999,-0.42039,-37.09999,-0.42039,-60.50044,-0.42039},
       y={19.2000463,54.3999939,19.2000463,54.3999939,19.2000463,54.3999939,19.2000463,54.3999939}},
  [map4 white]={x={161.88835,-169.05087,161.88835,-169.05087,161.88835,-169.05087,161.88835,-169.05087},
       z={158.02603,-124.86391,142.92604,-124.86391,105.92604,-124.86391,90.92604,-124.86391},
       y={0.00002479,0.00001708,0.00002479,0.00001708,0.00002479,0.00001708,0.00002479,0.00001708}},
  [map4 black]={x={-161.88835,169.05087,-161.88835,169.05087,-161.88835,169.05087,-161.88835,169.05087},
       z={-158.02603,124.86391,-142.92604,124.86391,-105.92604,124.86391,-90.92604,124.86391},
       y={0.00001708984382,0.00002479553223,0.00001708984382,0.00002479553223,
          0.00001708984382,0.00002479553223,0.00001708984382,0.00002479553223}}
